Epoch,Swin_Stage1,Swin_Stage2,Swin_Stage3,Swin_Stage4,Temporal,Fusion,Head
1,24.77935108677171,23.349338153562492,47.672255080373255,90.14609971458596,368.20883899530173,0.0,2970.5096538181274
2,0.029457608501895216,0.03018912164921152,0.0956074088177646,0.1485231479530431,287.2128102293603,0.0,5965.208317984814
3,0.022804107732006973,0.0255985973599449,0.07582954060530331,0.13692212316815605,372.9814946607713,0.0,7570.281974079507
4,0.04613256667881626,0.049395465792096395,0.13043838891717618,0.20347871337237977,356.75378822404764,0.0,6490.471256794633
5,0.0925465735060016,0.12798737135518184,0.3742545578750682,0.404123844499417,258.1576303239687,0.0,3834.39627770837
6,0.029812682794875502,0.04015712285141323,0.0981399221980149,0.21247492526281322,244.25588318931645,0.0,2994.88707351146
7,0.02733665815690828,0.028787404437770125,0.08120675922797192,0.20658072287229742,300.00648417988424,0.0,3311.5678400748648
8,0.010807308357324333,0.014734064145297432,0.03920683011614314,0.09751376110838679,352.2818472386265,0.0,3270.1661980448503
9,0.003535607746727782,0.005089857752472759,0.013055657842218201,0.04427188745616616,334.03492980566807,0.0,3499.213458189961
10,0.002479809292332042,0.0034235615748422796,0.009853366365041093,0.039232585517007396,331.4298835192831,0.0,3558.6554547090395
11,0.0014783304778390508,0.0020763473329600854,0.0067311853656145905,0.024725713934043717,266.46109870318855,0.0,3893.800244680557
12,0.0033487240901519584,0.004702935461195837,0.012024457551049151,0.03387970719570317,342.8796673249709,0.0,3533.217992116517
13,0.0008097580889991988,0.0012701550906247616,0.0035213445994500873,0.011057003218411143,194.74969054561205,0.0,3060.520201722837
14,0.001194284544020087,0.0016025734478211711,0.004663767527889008,0.016758175434050563,280.54212277856305,0.0,3803.322690722344
15,0.0012787817939678128,0.0016391537403936702,0.004853953126141766,0.01714479864575742,266.035537579952,0.0,3161.4648902744316
16,0.0006603584954410905,0.000921618577329637,0.0027408268291320647,0.011097934258537317,282.0265229303854,0.0,4138.619175589151
17,0.0006892381720358424,0.000864187395967194,0.002375625461421146,0.007761185005846658,190.01207518542404,0.0,3191.4455468691517
18,0.0006489062474167975,0.0006691720914899057,0.0020885514330379424,0.007631800299778438,219.60147821206775,0.0,3811.9547495831384
19,0.0005230572658659057,0.000685070921541515,0.0021785121596161914,0.00737908228933321,164.32520015794253,0.0,2898.2824952224273
20,0.0004482847504299175,0.0005384309875365833,0.001712134066066013,0.006518892388271047,188.2351851450765,0.0,3178.1054838252076
21,0.00031549057447511784,0.00037486039595856604,0.001094201888212556,0.0042587729130574015,131.79471288884767,0.0,2539.939746922435
22,0.0004440546647858495,0.0005617264665344413,0.0015589829358867515,0.005499596253470273,174.17778081682246,0.0,2976.5483461935487
23,0.00040895690101315236,0.0005563736534266397,0.002013176048708505,0.005964263421433119,168.5542665587237,0.0,3053.492142507288
24,0.0005573661505386062,0.0006765175175438926,0.0022254543010300303,0.007634053101585862,234.68392162333922,0.0,3943.664859610313
25,0.0006754353420849647,0.0008249305523622496,0.002563273634291295,0.00705937649639186,177.29506253583696,0.0,3192.0397281785245
26,0.0011581817556948698,0.0015095423942593545,0.004105071380728938,0.011818979890493944,220.60245211778062,0.0,3447.881056068074
27,0.0005337663838282828,0.0007347798106907745,0.00209804573232514,0.006059916040000015,189.91713005730858,0.0,3261.1418822192163
28,0.0003948143449840005,0.00048409036917991874,0.0011629420920069465,0.004330582798363907,123.6479947591972,0.0,2455.634828151596
29,0.0004671114054498844,0.0006406712213262878,0.0017053933174401646,0.005729573244229625,176.3252268140404,0.0,3303.0193568888903
30,0.0005633383102579034,0.0007951043928077305,0.0025046905882102565,0.005879120475674569,186.58508744634173,0.0,3264.7656264573498
31,0.0006727493345463812,0.0008396445587852096,0.002109851884147901,0.006251055548967003,232.10097453832196,0.0,3794.0350134993755
32,0.000494237800114126,0.0006514292168952382,0.001783157206433929,0.0058520845188691955,227.1493389233138,0.0,3962.428396092632
33,0.0005756143268042686,0.0008165652221197814,0.002146361365088714,0.0061148839066144395,190.8791424927581,0.0,3243.351938987685
34,0.0003015976172952937,0.0003945334042129772,0.0011231595933439882,0.005204847328730026,210.27539088178148,0.0,3618.844838535853
35,0.0003056544889598446,0.0003780704343060581,0.0012044642460946353,0.0045332036871612745,202.7099102662531,0.0,3589.667537120037
36,0.00033365880046534816,0.0004187138019605971,0.0013720028382973675,0.004785995149173681,176.56764737285704,0.0,3139.6320971282007
37,0.0004028434344272334,0.0005041601907087828,0.001448047877762366,0.005182056062932443,202.32269993177482,0.0,3502.7448109657034
