Epoch,Pred_Mean,Pred_Std,Pred_Entropy,Target_Std,Latent_Std
1,12.01698,2.8075413e-06,0.0,8.57919,1.0225177
2,28.36148,1.1012082e-06,0.0,8.57919,1.0516655
3,51.199642,3.4823263e-06,0.0,8.57919,1.0847319
4,79.17217,8.240688e-06,0.0,8.57919,1.1180538
5,98.171074,1.6773105e-05,0.0,8.57919,1.1384586
6,103.16912,4.404833e-06,0.0,8.57919,1.1426022
7,89.019745,6.9646526e-06,0.0,8.57919,1.1311518
8,100.40507,0.0,0.0,8.57919,1.140486
9,94.622856,1.0789593e-05,0.0,8.57919,1.1355692
10,103.1355,8.809666e-06,0.0,8.57919,1.1427432
