Epoch,Loss,ValLoss,LR,HR_Loss,WV_Loss,PredMean,PredStd,TargetStd,PredictionEntropy,Alpha,GradAlpha,EffectiveAlpha,GradHead,GradTemporal,GradSwin1,GradSwin2,GradSwin3,GradSwin4,GradSTDS,Head/Swin Ratio,Head/STDS Ratio,LatentStd,MAE,RMSE,Pearson,CCC,GPU Memory
1,7468.655159505209,5541.774576822917,1.000000e-03,5540.7923,0.9823,16.2970,0.000002,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.244038e+03,4.530129e+02,3.201046e+01,2.694131e+01,3.813239e+01,7.304942e+01,1.270136e+01,101.34,255.41,1.0242,73.9404,74.4365,-0.5047,0.0,528.8
2,4997.550602213541,3058.5394694010415,1.000000e-03,3057.5547,0.9848,35.6119,0.000002,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,6.157406e+03,3.592340e+02,2.691171e-03,3.281194e-03,9.864511e-03,1.127428e-01,4.334078e-02,2288002.38,142069.59,1.0538,54.6256,55.2952,-0.5808,0.0,528.8
3,2567.775842285156,939.1759643554688,1.000000e-03,938.2212,0.9547,60.8331,0.000003,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,6.460717e+03,3.919237e+02,2.323889e-03,2.847263e-03,8.364713e-03,8.686282e-02,4.160436e-02,2780131.45,155289.41,1.0864,29.4044,30.6304,-0.5585,0.0,528.8
4,742.1784627278646,75.88195292154948,1.000000e-03,74.9212,0.9608,91.3859,0.000019,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.911269e+03,2.519193e+02,2.982803e-03,3.657060e-03,9.132628e-03,8.948541e-02,4.279496e-02,1311273.18,91395.56,1.1201,8.5436,8.6557,0.4298,0.0,528.8
5,492.6451237042745,94.11966959635417,1.000000e-03,93.1930,0.9266,94.6634,0.000224,8.5792,-267291.3938,0.000000e+00,0.000000e+00,0.000000e+00,3.460026e+03,6.545638e+02,1.503842e-02,1.739456e-02,6.763209e-02,7.283086e-01,3.118909e-01,230079.13,11093.71,1.1260,8.5437,9.6537,-0.5021,0.0,528.8
6,407.0571217854818,199.28374735514322,1.000000e-03,198.3746,0.9092,101.4076,0.000014,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,3.048604e+03,5.297107e+02,9.884701e-04,1.382999e-03,6.689255e-03,6.252713e-02,2.964958e-02,3084164.12,102821.14,1.1315,11.1701,14.0846,-0.3863,0.0,528.8
7,531.767598215739,101.59613545735677,1.000000e-03,100.6582,0.9380,85.0360,0.000075,8.5792,-857949.7595,0.000000e+00,0.000000e+00,0.000000e+00,3.274986e+03,7.156521e+02,1.071867e-03,1.382957e-03,4.882020e-03,4.446161e-02,2.540324e-02,3055402.36,128920.04,1.1186,8.5437,10.0329,-0.4743,0.0,528.8
8,338.2953402201335,167.1577351888021,1.000000e-03,166.2421,0.9156,99.8624,0.000041,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.632344e+03,3.672338e+02,6.293488e-04,7.476352e-04,2.102525e-03,1.861337e-02,1.084846e-02,4182646.59,242646.81,1.1298,9.6249,12.8935,-0.4568,0.0,528.8
9,323.7692333221436,75.75203959147136,1.000000e-03,74.8381,0.9140,89.1260,0.000040,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.449878e+03,3.105737e+02,4.282392e-04,5.352842e-04,1.714163e-03,1.604993e-02,9.304173e-03,5720817.08,263309.61,1.1214,8.5436,8.6509,-0.4646,0.0,528.8
10,317.736710357666,158.41252644856772,1.000000e-03,157.4963,0.9162,99.3968,0.000035,8.5792,0.0000,0.000000e+00,0.000000e+00,0.000000e+00,2.274959e+03,2.961500e+02,3.698846e-04,4.595434e-04,1.334822e-03,1.434061e-02,8.215767e-03,6150455.67,276901.58,1.1292,9.1593,12.5498,-0.4240,0.0,528.8
